Wall time,Step,Value
1658604200.742089,15360,-154.02735900878906
1658604302.4078155,35328,-170.93804931640625
1658604343.3271754,44544,-171.5340118408203
1658604458.2307465,69120,-174.7132110595703
1658604475.8280325,72192,-170.51620483398438
1658604499.6050212,76800,-168.58255004882812
1658604562.549704,89088,-167.16529846191406
1658604586.55845,93696,-169.24656677246094
1658604707.0332181,116736,-161.1200714111328
1658604731.5662591,121344,-158.5177001953125
1658604885.7181647,152064,-157.11720275878906
1658604948.5090337,164352,-154.69456481933594
1658604972.3242671,170496,-152.6022491455078
1658605116.3274834,201216,-146.38809204101562
1658605218.8283942,221184,-149.89466857910156
1658605304.783269,238080,-154.57615661621094
1658605345.1426535,245760,-161.38433837890625
1658605365.500749,250368,-164.7757568359375
1658605435.6298888,264192,-163.70513916015625
1658605522.8659966,281088,-166.34031677246094
1658605562.581236,288768,-165.9697265625
1658605575.7293558,291840,-163.70101928710938
1658605583.9717317,293376,-163.2837371826172
1658605617.1365626,299520,-164.80335998535156
1658605670.0270822,311808,-162.6641845703125
1658605740.1036928,325632,-159.15345764160156
1658605780.4423106,333312,-161.0091552734375
1658605864.7871137,350208,-166.35150146484375
1658605907.1465452,359424,-165.9541778564453
1658605945.2743516,367104,-169.6108856201172
1658606067.650479,390144,-169.77902221679688
1658606112.8084378,399360,-170.13052368164062
1658606144.9833472,407040,-167.58270263671875
1658606204.1462982,417792,-167.47923278808594
1658606236.2838726,423936,-168.29379272460938
1658606254.082008,427008,-166.9071807861328
1658606400.5018635,456192,-173.48074340820312
1658606437.9745576,463872,-173.81536865234375
1658606484.5110765,473088,-171.20074462890625
1658606517.1852305,480768,-167.99420166015625
1658606533.8199816,483840,-166.06939697265625
1658606587.6900053,496128,-161.75225830078125
1658606687.8741705,514560,-159.679443359375
1658606761.3805892,528384,-148.90606689453125
1658606828.047407,540672,-142.128173828125
1658606944.1126106,565248,-146.6863250732422
1658606976.4855616,571392,-146.93577575683594
1658607051.6181955,586752,-141.91867065429688
1658607401.9072988,654336,-146.0558624267578
1658607411.2212975,655872,-145.49880981445312
1658607545.5364513,681984,-160.56565856933594
1658607561.0417657,685056,-159.75994873046875
1658607569.8581142,686592,-154.8623504638672
1658607595.7018158,691200,-156.4038543701172
1658607720.7485595,714240,-158.7946014404297
1658607744.6859922,718848,-157.8843231201172
1658607752.966469,720384,-157.3131103515625
1658607837.2960932,735744,-152.3685302734375
1658607977.9236476,761856,-149.8831024169922
1658607991.7621672,764928,-153.6319122314453
1658608146.6725276,794112,-141.8913116455078
1658608162.1684902,797184,-142.10081481933594
1658608187.670643,801792,-136.5701141357422
1658608254.6291192,814080,-140.73582458496094
1658608305.8100185,823296,-144.90794372558594
1658608321.9895926,826368,-146.52291870117188
1658608338.3972998,830976,-146.58023071289062
1658608388.7518322,840192,-139.46388244628906
1658608425.7966974,847872,-133.68505859375
1658608505.431056,863232,-133.26742553710938
1658608555.0271552,872448,-129.07778930664062
1658608600.3425596,881664,-136.02581787109375
1658608629.1312745,887808,-137.68455505371094
1658608678.9512062,897024,-129.55726623535156
1658608696.0530941,900096,-128.94752502441406
1658608737.4162903,907776,-127.38313293457031
1658608746.751108,909312,-128.04566955566406
1658608792.0685174,918528,-130.1676788330078
1658608862.8522644,932352,-137.09857177734375
1658609006.2700877,960000,-140.2643585205078
1658609022.6187117,963072,-140.42527770996094
1658609110.8806558,981504,-145.47683715820312
1658609169.4401422,992256,-141.1588897705078
1658609177.718862,993792,-139.80848693847656
1658609193.829593,996864,-138.5168914794922
