Wall time,Step,Value
1659455130.8050025,12288,-145.41864013671875
1659455206.6932762,32256,-163.5224151611328
1659455238.055704,41472,-153.5502471923828
1659455325.42316,66048,-156.19898986816406
1659455333.5672855,69120,-156.26939392089844
1659455352.542689,73728,-157.20602416992188
1659455395.0381427,86016,-154.0399627685547
1659455410.6513216,90624,-152.34446716308594
1659455487.8903742,113664,-153.46841430664062
1659455505.1003747,118272,-153.32398986816406
1659455618.3447232,148992,-149.66143798828125
1659455661.4048276,161280,-144.66946411132812
1659455683.3082452,167424,-144.73179626464844
1659455797.9586,198144,-132.80043029785156
1659455866.441297,218112,-127.60138702392578
1659455929.8412154,235008,-121.75792694091797
1659455961.330254,242688,-116.66291046142578
1659455980.1643791,247296,-117.54064178466797
1659456032.956962,261120,-120.78779602050781
1659456093.5385976,278016,-115.20797729492188
1659456121.5136256,285696,-111.2076187133789
1659456134.6266754,288768,-107.32171630859375
1659456140.7133768,290304,-108.21292877197266
1659456165.8599687,296448,-108.10455322265625
1659456213.2729452,308736,-115.03863525390625
1659456265.4461632,322560,-119.78919219970703
1659456295.2557418,330240,-120.95217895507812
1659456360.8677053,347136,-121.40021514892578
1659456398.410626,356352,-129.15948486328125
1659456427.95491,364032,-135.31045532226562
1659456515.611797,387072,-131.2700958251953
1659456549.14945,396288,-127.85941314697266
1659456579.2516866,403968,-131.8321533203125
1659456620.6266901,414720,-133.7288818359375
1659456643.1674397,420864,-136.72036743164062
1659456654.9314663,423936,-135.43626403808594
1659456760.9640296,453120,-141.3509521484375
1659456787.9045835,460800,-140.19857788085938
1659456823.7889888,470016,-139.78765869140625
1659456852.7251277,477696,-137.5089111328125
1659456865.1816602,480768,-139.27838134765625
1659456910.9287436,493056,-142.7122344970703
1659456977.5678732,511488,-141.78343200683594
1659457029.1063237,525312,-136.6410369873047
1659457070.0409293,537600,-141.6072235107422
1659457161.951802,562176,-138.8467254638672
1659457184.3755252,568320,-132.2780303955078
1659457240.3536408,583680,-126.28010559082031
1659457489.0465896,651264,-114.68209075927734
1659457493.9525924,652800,-114.68209075927734
1659457588.7949502,678912,-117.97652435302734
1659457600.4993048,681984,-119.76343536376953
1659457606.36767,683520,-119.92312622070312
1659457621.4506228,688128,-123.4254379272461
1659457707.1709545,711168,-144.33641052246094
1659457724.8439002,715776,-145.77906799316406
1659457731.264869,717312,-144.63507080078125
1659457787.1066265,732672,-142.41497802734375
1659457889.122508,758784,-136.20611572265625
1659457901.003491,761856,-133.84326171875
1659458003.524112,791040,-129.9309539794922
1659458014.8202782,794112,-128.5012664794922
1659458030.4735389,798720,-127.8429946899414
1659458078.8677623,811008,-132.80067443847656
1659458113.7981951,820224,-140.6324462890625
1659458123.464178,823296,-141.1304473876953
1659458142.2929103,827904,-141.27130126953125
1659458175.0093365,837120,-145.44705200195312
1659458203.3638945,844800,-149.74737548828125
1659458257.6909366,860160,-152.53326416015625
1659458291.4448342,869376,-153.04531860351562
1659458324.6832118,878592,-152.0471649169922
1659458348.7523549,884736,-152.61544799804688
1659458383.026072,893952,-150.57945251464844
1659458391.1631339,897024,-149.97035217285156
1659458418.9857743,904704,-148.1289520263672
1659458425.4864464,906240,-142.90504455566406
1659458455.0689173,915456,-142.81251525878906
1659458506.2196176,929280,-137.54579162597656
1659458604.135728,956928,-125.6831283569336
1659458613.7555842,960000,-125.02934265136719
1659458681.8532772,978432,-114.06151580810547
1659458721.0105555,989184,-119.043701171875
1659458725.8703911,990720,-119.043701171875
1659458732.9352226,993792,-116.8475112915039
1659458750.6245656,998400,-114.3651351928711
1659458761.342352,1001472,-111.6886978149414
1659458829.1477985,1019904,-111.55870056152344
1659458846.8605218,1024512,-112.72172546386719
1659458867.725082,1030656,-119.59915924072266
1659458885.8542979,1035264,-118.57105255126953
1659458900.343594,1039872,-120.77916717529297
1659458924.9075682,1046016,-122.4900894165039
1659458930.2995145,1047552,-123.4240951538086
1659458953.532696,1053696,-120.79753875732422
1659458983.1298325,1061376,-120.12576293945312
1659459125.4153748,1101312,-133.09173583984375
1659459148.6159537,1107456,-134.1161651611328
1659459166.4956255,1113600,-129.0164794921875
1659459170.2637384,1115136,-128.39329528808594
1659459211.2013245,1125888,-132.2376708984375
1659459264.8493466,1139712,-136.90127563476562
1659459285.29712,1145856,-139.47825622558594
1659459305.773781,1152000,-137.8469696044922
1659459333.310406,1159680,-136.24887084960938
1659459356.8833184,1165824,-141.8936004638672
1659459406.9476223,1179648,-145.42611694335938
1659459430.5070772,1185792,-145.12802124023438
1659459435.8882184,1187328,-145.00901794433594
1659459442.9451032,1188864,-147.14224243164062
1659459455.2372649,1191936,-149.5529327392578
1659459460.0386286,1193472,-149.5529327392578
1659459492.9721565,1202688,-149.94776916503906
1659459520.2547107,1210368,-149.7544403076172
1659459532.5036426,1213440,-147.6598358154297
1659459561.9745529,1221120,-145.3786163330078
1659459567.386601,1222656,-145.49392700195312
1659459574.821877,1224192,-143.66778564453125
1659459591.6207304,1230336,-143.34568786621094
1659459612.8780203,1236480,-141.45687866210938
1659459641.358692,1244160,-132.8166046142578
1659459647.2733,1245696,-131.77268981933594
1659459652.1200333,1247232,-131.77268981933594
1659459781.4728625,1282560,-113.87593078613281
1659459806.1299071,1288704,-110.81584930419922
1659459992.4600928,1339392,-118.07971954345703
1659460019.8950217,1347072,-120.94010925292969
1659460031.7857547,1350144,-122.98001861572266
1659460065.5907066,1359360,-125.22106170654297
1659460110.933971,1371648,-129.96205139160156
1659460143.835386,1380864,-128.19192504882812
1659460165.3824017,1387008,-124.51464080810547
1659460205.642542,1397760,-126.150634765625
1659460216.3519926,1400832,-125.83621215820312
1659460253.4153626,1410048,-125.88203430175781
1659460264.6595564,1413120,-124.36924743652344
1659460342.0554733,1434624,-114.42724609375
1659460347.9671707,1436160,-113.06024169921875
1659460406.7081313,1451520,-105.79700469970703
1659460423.8330555,1456128,-107.48680877685547
1659460477.1762364,1469952,-109.8242416381836
1659460500.217942,1476096,-102.74067687988281
1659460521.6705687,1482240,-102.4368667602539
1659460571.0601456,1496064,-109.0614242553711
1659460577.507853,1497600,-106.61502075195312
1659460613.28025,1506816,-108.95092010498047
1659460619.1641538,1508352,-114.20919799804688
1659460646.7806716,1516032,-115.88735961914062
1659460714.0586112,1534464,-124.33248901367188
1659460746.6091022,1543680,-122.86467742919922
1659460765.5465384,1548288,-122.59657287597656
1659460815.4673924,1562112,-124.33293914794922
1659460832.57677,1566720,-119.20648193359375
1659460873.8614595,1579008,-111.64215850830078
1659460942.23272,1597440,-111.56609344482422
1659460982.369692,1608192,-109.47108459472656
1659461049.4391503,1628160,-110.98368835449219
1659461084.421746,1637376,-112.42017364501953
1659461101.066591,1641984,-113.1076889038086
1659461111.3512053,1645056,-111.751220703125
1659461132.2867632,1651200,-118.26187133789062
1659461156.3746438,1657344,-119.1414566040039
1659461168.6906226,1660416,-122.28275299072266
1659461192.988959,1668096,-123.85443115234375
1659461198.860768,1669632,-127.61320495605469
1659461246.5237286,1683456,-128.45921325683594
1659461281.2895427,1692672,-130.25413513183594
1659461305.3889034,1698816,-129.05014038085938
1659461310.8528886,1700352,-128.14405822753906
1659461364.3915505,1715712,-114.66178894042969
1659461391.2460697,1723392,-118.98796844482422
1659461468.3896008,1744896,-124.16002655029297
1659461588.8449461,1778688,-113.64083099365234
1659461595.2492635,1780224,-112.99786376953125
1659461615.6312706,1786368,-107.47328186035156
1659461622.0777051,1787904,-107.9877700805664
1659461627.4419794,1789440,-108.31265258789062
1659461724.7499852,1817088,-106.62503814697266
