Wall time,Step,Value
1658414437.6773622,13824,-164.9486083984375
1658414508.5403743,33792,-174.5305633544922
1658414541.8775249,43008,-172.70852661132812
1658414632.2885299,67584,-170.88404846191406
1658414645.1476612,70656,-168.28292846679688
1658414659.6520383,75264,-166.30377197265625
1658414704.081041,87552,-163.1309356689453
1658414718.2362032,92160,-164.7379913330078
1658414802.9380982,115200,-164.45587158203125
1658414819.9398806,119808,-157.69912719726562
1658414921.4472857,150528,-154.27931213378906
1658414963.3573031,162816,-153.75015258789062
1658414985.5706527,168960,-153.7592010498047
1658415087.915843,199680,-147.9251708984375
1658415160.439688,219648,-136.7083740234375
1658415244.2119489,244224,-148.12808227539062
1658415260.6322637,248832,-147.70274353027344
1658415311.0201354,262656,-144.98280334472656
1658415370.3242962,279552,-148.0734100341797
1658415398.1329966,287232,-146.75424194335938
1658415408.0661929,290304,-152.97085571289062
1658415413.2040625,291840,-151.64915466308594
1658415437.0582497,297984,-154.22288513183594
1658415529.7841425,324096,-139.47427368164062
1658415616.9525023,348672,-139.1264190673828
1658415651.1865034,357888,-139.367919921875
1658415680.850517,365568,-135.91244506835938
1658415762.695989,388608,-145.3585662841797
1658415798.4587502,397824,-147.93914794921875
1658415826.7072136,405504,-152.41648864746094
1658415866.399786,416256,-148.86221313476562
1658415887.5874746,422400,-149.74832153320312
1658415899.8907235,425472,-152.25015258789062
1658416001.4572606,454656,-141.833251953125
1658416084.2820284,479232,-145.67381286621094
1658416095.1913464,482304,-144.3512420654297
1658416140.0602913,494592,-141.0537109375
1658416205.166946,513024,-144.260498046875
1658416252.5777628,526848,-147.76480102539062
1658416298.9001164,539136,-145.07786560058594
1658416385.1748164,563712,-133.37478637695312
1658416407.2832005,569856,-131.32626342773438
1658416703.7603564,652800,-120.98051452636719
1658416710.0263464,654336,-119.63560485839844
1658416804.1444743,680448,-119.94232177734375
1658416816.1965644,683520,-119.97822570800781
1658416821.4790437,685056,-120.853515625
1658416839.5376456,689664,-124.10801696777344
1658416923.0098357,712704,-129.32521057128906
1658416939.9535306,717312,-127.82916259765625
1658416946.6264653,718848,-130.9120635986328
1658417000.3592446,734208,-133.56777954101562
1658417095.993993,760320,-131.04800415039062
1658417106.2290792,763392,-130.8734130859375
1658417219.941204,795648,-122.64832305908203
1658417236.396029,800256,-117.52456665039062
1658417278.0511577,812544,-113.93262481689453
1658417310.0120568,821760,-117.6846694946289
1658417338.350727,829440,-117.12017822265625
1658417369.371538,838656,-108.99769592285156
1658417398.6624525,846336,-113.46178436279297
1658417450.476004,861696,-111.2501449584961
1658417480.6828024,870912,-116.74132537841797
1658417537.4862938,886272,-126.50419616699219
1658417567.4911306,895488,-122.26566314697266
1658417577.73343,898560,-119.84857177734375
1658417602.3742726,906240,-123.6235122680664
1658417607.4924102,907776,-123.51541900634766
1658417689.3499038,930816,-133.9587860107422
1658417788.633765,958464,-131.72035217285156
1658417798.9645627,961536,-134.16244506835938
1658417865.5257423,979968,-132.89788818359375
1658417905.1256227,990720,-126.57133483886719
1658417910.2911181,992256,-126.6212387084961
1658417923.330057,995328,-117.95912170410156
1658417936.33178,999936,-115.82833099365234
1658417947.3421493,1003008,-116.70281219482422
1658418007.3764668,1021440,-118.74444580078125
1658418058.0848703,1036800,-124.00395202636719
1658418071.4304676,1041408,-124.47489166259766
1658418121.6018052,1055232,-125.48527526855469
1658418149.353662,1062912,-131.31195068359375
1658418289.6904876,1102848,-132.1224822998047
1658418313.0321448,1108992,-135.09213256835938
1658418332.204733,1115136,-141.32089233398438
1658418337.8591316,1116672,-141.34397888183594
1658418375.7267284,1127424,-137.91543579101562
1658418421.0233095,1141248,-142.7678680419922
1658418444.2904537,1147392,-141.4993438720703
1658418463.4891949,1153536,-142.70046997070312
1658418490.5936368,1161216,-141.97348022460938
1658418510.2439232,1167360,-145.31886291503906
1658418556.7849898,1181184,-155.29437255859375
1658418579.5303707,1187328,-153.77037048339844
1658418585.2116978,1188864,-153.0089874267578
1658418590.8647923,1190400,-152.26507568359375
1658418602.1093607,1193472,-144.43927001953125
1658418640.0614896,1204224,-135.1317596435547
1658418666.493579,1211904,-133.29087829589844
1658418678.4314299,1214976,-131.4122772216797
1658418704.3989637,1222656,-129.4572296142578
1658418716.7454505,1225728,-128.4576416015625
1658418737.8582416,1231872,-125.68891906738281
1658418758.3162959,1238016,-120.93103790283203
1658418791.3934216,1247232,-117.32865142822266
1658418797.184116,1248768,-116.72024536132812
1658418917.659782,1284096,-111.34927368164062
1658418939.2701654,1290240,-114.49170684814453
1658419113.591562,1340928,-108.98915100097656
1658419141.887123,1348608,-98.24856567382812
1658419153.1741674,1351680,-99.04097747802734
1658419184.281977,1360896,-99.0167465209961
1658419226.770667,1373184,-91.60124206542969
1658419261.492273,1382400,-85.9186782836914
1658419285.0620575,1388544,-82.44764709472656
1658419325.3394766,1399296,-72.42767333984375
1658419336.5925174,1402368,-71.60198974609375
1658419370.7632055,1411584,-73.09026336669922
1658419383.1106799,1414656,-74.21443176269531
1658419457.4270158,1436160,-82.41796112060547
1658419463.0563047,1437696,-84.98226928710938
1658419519.305735,1453056,-93.20365905761719
1658419536.150069,1457664,-97.46536254882812
1658419585.548684,1471488,-94.66545867919922
1658419606.0334392,1477632,-92.5340805053711
1658419625.4402523,1483776,-96.69258117675781
1658419671.7718086,1497600,-97.0055160522461
1658419677.9828212,1499136,-95.86780548095703
1658419710.920834,1508352,-97.17340850830078
1658419717.0991929,1509888,-95.22941589355469
1658419744.539492,1517568,-97.03080749511719
1658419805.17815,1536000,-97.17201232910156
1658419839.1030293,1545216,-94.34618377685547
1658419854.851925,1549824,-100.13957214355469
1658419900.1976414,1563648,-96.5915298461914
1658419918.2376842,1568256,-96.0842514038086
1658419964.1044505,1580544,-99.42566680908203
1658420062.8160472,1609728,-83.12091064453125
1658420133.0688624,1629696,-63.44349670410156
1658420165.1204898,1638912,-60.5698356628418
1658420181.6056023,1643520,-57.785945892333984
1658420193.8090417,1646592,-56.203224182128906
1658420215.9916961,1652736,-50.467403411865234
1658420249.6386614,1661952,-37.92119216918945
1658420276.077343,1669632,-34.65331268310547
1658420330.174075,1684992,-37.49107360839844
1658420363.7962258,1694208,-35.302547454833984
1658420384.018677,1700352,-34.005672454833984
1658420389.658946,1701888,-30.8859806060791
1658420445.614865,1717248,-40.47650146484375
1658420472.9856367,1724928,-32.43119812011719
1658420672.7029517,1781760,-48.54035186767578
1658420695.3980749,1787904,-49.711448669433594
1658420701.5723727,1789440,-47.6130485534668
1658420706.7210407,1790976,-48.4034423828125
1658420802.9047077,1818624,-68.0287857055664
1658420864.857024,1837056,-62.66286087036133
1658420871.5171857,1838592,-65.86164093017578
1658420903.7522964,1847808,-70.87582397460938
1658420943.3101919,1858560,-74.89795684814453
1658421081.7136223,1898496,-61.980628967285156
1658421091.3763847,1901568,-62.705833435058594
1658421147.298103,1916928,-58.987022399902344
1658421207.115642,1933824,-47.124244689941406
1658421220.0810876,1938432,-45.494136810302734
1658421238.1137798,1943040,-51.01236343383789
1658421348.2000043,1973760,-59.779144287109375
1658421379.1252604,1982976,-55.258644104003906
1658421416.7147212,1993728,-55.72042465209961
1658421450.097387,2002944,-72.9006118774414
1658421500.504496,2018304,-74.62921142578125
1658421533.4697213,2027520,-77.25550079345703
1658421548.0212314,2032128,-75.46307373046875
1658421609.723375,2049024,-80.69086456298828
1658421625.8757515,2053632,-84.35774230957031
1658421642.3038073,2058240,-84.8696517944336
1658421645.5524604,2059776,-83.63644409179688
1658421909.42975,2133504,-86.27630615234375
1658421925.8871691,2138112,-85.7744140625
1658421940.480603,2142720,-90.97600555419922
1658421946.2578375,2144256,-91.86901092529297
1658422068.4113667,2178048,-93.95291900634766
1658422131.466476,2196480,-95.9878921508789
1658422142.7174075,2199552,-92.26152038574219
1658422162.867447,2205696,-88.49491882324219
1658422181.1352415,2211840,-89.54649353027344
1658422203.141303,2217984,-89.14773559570312
1658422341.0355394,2256384,-74.07534790039062
1658422345.6093588,2257920,-74.07534790039062
1658422402.9495015,2274816,-72.51909637451172
1658422442.423643,2287104,-69.95072174072266
1658422464.1571198,2293248,-72.09078979492188
1658422474.4046755,2296320,-72.3675765991211
1658422525.186479,2311680,-67.25751495361328
1658422562.0074797,2322432,-67.55757141113281
1658422636.9043353,2345472,-76.25936126708984
1658422661.0155628,2351616,-73.71209716796875
1658422792.7928681,2388480,-62.68218231201172
1658422797.0686846,2390016,-63.80107116699219
1658422883.3263972,2414592,-67.22636413574219
1658422888.9773505,2416128,-65.19927978515625
1658422968.3957183,2439168,-67.4126968383789
1658422988.526013,2445312,-63.17900466918945
1658423036.8981102,2459136,-58.24409103393555
1658423074.8809075,2469888,-54.421142578125
1658423078.2052648,2471424,-57.71854019165039
1658423151.9866645,2491392,-45.99508285522461
1658423198.3555255,2505216,-36.173770904541016
1658423226.1879332,2512896,-37.80646896362305
1658423250.2477763,2520576,-41.59910583496094
1658423267.1642704,2525184,-37.61000442504883
1658423290.0233886,2532864,-35.996212005615234
1658423307.5268936,2537472,-41.083465576171875
1658423373.5859015,2555904,-48.2216682434082
1658423416.5572927,2568192,-60.54753875732422
1658423453.5852344,2578944,-57.28559875488281
1658423489.6515837,2589696,-61.0505256652832
1658423538.0641646,2603520,-62.89414596557617
1658423557.1582003,2609664,-70.75414276123047
1658423564.4024022,2611200,-72.39563751220703
1658423569.5264266,2612736,-73.46601867675781
1658423578.3749866,2615808,-73.12391662597656
1658423593.951915,2620416,-69.27603912353516
