Wall time,Step,Value
1658560918.895798,12288,-155.19564819335938
1658561003.2965565,32256,-157.90078735351562
1658561041.98134,41472,-154.42691040039062
1658561146.1137216,66048,-155.3906707763672
1658561158.9113917,69120,-151.05433654785156
1658561178.0071902,73728,-151.75672912597656
1658561231.999465,86016,-152.1981658935547
1658561250.5927227,90624,-153.73951721191406
1658561347.4722102,113664,-148.57081604003906
1658561364.3731492,118272,-148.88949584960938
1658561491.8665419,148992,-150.61256408691406
1658561541.4280095,161280,-154.4412078857422
1658561569.7716372,167424,-153.31040954589844
1658561697.9639637,198144,-143.7570037841797
1658561779.8114028,218112,-145.29466247558594
1658561851.3285828,235008,-138.31353759765625
1658561885.5693586,242688,-137.9542694091797
1658561905.7979121,247296,-144.29550170898438
1658561960.3908577,261120,-152.86050415039062
1658562033.1098015,278016,-154.60577392578125
1658562068.109814,285696,-149.4215850830078
1658562081.1605613,288768,-149.1890869140625
1658562088.2146661,290304,-147.4446563720703
1658562116.951589,296448,-150.394287109375
1658562170.0672123,308736,-152.0817108154297
1658562221.9685886,322560,-151.80560302734375
1658562257.2736266,330240,-148.11215209960938
1658562329.705032,347136,-146.98817443847656
1658562371.5704403,356352,-145.59075927734375
1658562402.9264526,364032,-158.6981201171875
1658562506.5939553,387072,-163.96746826171875
1658562545.0013537,396288,-161.81915283203125
1658562576.433238,403968,-162.02850341796875
1658562621.6718986,414720,-153.70199584960938
1658562649.5400665,420864,-146.20034790039062
1658562661.8450823,423936,-145.28994750976562
1658562785.1134753,453120,-140.96401977539062
1658562813.018981,460800,-138.22731018066406
1658562856.1101732,470016,-140.14236450195312
1658562887.3405905,477696,-133.33030700683594
1658562900.7856076,480768,-133.7226104736328
1658562952.0680552,493056,-127.24740600585938
1658563031.8176463,511488,-137.1160888671875
1658563089.4364846,525312,-130.9815673828125
1658563140.5839674,537600,-129.13897705078125
1658563246.6251743,562176,-126.7328109741211
1658563270.6973853,568320,-122.03121185302734
1658563339.4426367,583680,-128.82501220703125
1658563624.615319,651264,-130.4249267578125
1658563630.5283926,652800,-130.4249267578125
1658563734.4038787,678912,-123.51325988769531
1658563747.3687294,681984,-123.06636047363281
1658563754.307239,683520,-124.39386749267578
1658563775.7015893,688128,-128.66749572753906
1658563870.36792,711168,-124.00946044921875
1658563887.7892537,715776,-120.38079071044922
1658563895.791164,717312,-124.3206558227539
1658563955.2520201,732672,-117.21786499023438
1658564064.3275998,758784,-107.19845581054688
1658564077.7991803,761856,-104.65924072265625
1658564205.500467,791040,-92.56082153320312
1658564216.6962554,794112,-95.264892578125
1658564233.7264173,798720,-95.63990020751953
1658564289.5424697,811008,-89.9566879272461
1658564330.642949,820224,-84.71038055419922
1658564344.5543122,823296,-82.33328247070312
1658564364.9427447,827904,-84.86007690429688
1658564406.8548896,837120,-87.04025268554688
1658564436.5608432,844800,-87.11709594726562
1658564501.2033377,860160,-82.8553695678711
1658564539.4246976,869376,-75.32669067382812
1658564577.354511,878592,-75.63721466064453
1658564602.0014093,884736,-78.61217498779297
1658564638.0531907,893952,-85.85369873046875
1658564652.4710035,897024,-89.74760437011719
1658564686.848495,904704,-85.2997055053711
1658564692.733886,906240,-85.2997055053711
1658564732.2211049,915456,-86.25109100341797
1658564787.0996778,929280,-92.08921813964844
1658564905.8891633,956928,-98.85152435302734
1658564916.9041388,960000,-94.24051666259766
1658564995.6404784,978432,-96.15105438232422
1658565040.8975646,989184,-99.72941589355469
1658565047.8473752,990720,-98.01154327392578
1658565061.7225943,993792,-97.81298065185547
1658565082.5780768,998400,-92.19524383544922
1658565091.9727025,1001472,-93.96522521972656
1658565162.734988,1019904,-89.6831283569336
1658565183.2309756,1024512,-87.16503143310547
1658565207.7296028,1030656,-91.98733520507812
1658565228.1056983,1035264,-90.24040985107422
1658565249.4892657,1039872,-92.67009735107422
1658565276.2863147,1046016,-100.02568054199219
1658565283.7477453,1047552,-97.78107452392578
1658565311.038843,1053696,-93.59745025634766
1658565342.5502222,1061376,-91.746337890625
