Wall time,Step,Value
1658469494.0072725,15360,-181.39801025390625
1658469561.492551,35328,-161.85232543945312
1658469590.1934981,44544,-159.28431701660156
1658469670.9049346,69120,-165.55120849609375
1658469679.0366924,72192,-167.22813415527344
1658469693.9067144,76800,-166.38418579101562
1658469730.1294267,89088,-165.87693786621094
1658469746.7577682,93696,-163.53683471679688
1658469823.406288,116736,-162.6688232421875
1658469837.665722,121344,-162.09521484375
1658469936.1424816,152064,-148.45623779296875
1658469974.6850834,164352,-147.3798065185547
1658469995.2985973,170496,-138.82769775390625
1658470089.0039449,201216,-140.58473205566406
1658470150.6604865,221184,-152.32553100585938
1658470205.0775409,238080,-155.5289306640625
1658470230.320814,245760,-157.41990661621094
1658470245.6199741,250368,-156.90757751464844
1658470290.19516,264192,-151.9051055908203
1658470346.7750587,281088,-147.9308624267578
1658470370.0993807,288768,-145.44479370117188
1658470380.9899278,291840,-142.5879364013672
1658470385.0430381,293376,-142.5879364013672
1658470403.532636,299520,-138.6468048095703
1658470443.617043,311808,-136.48831176757812
1658470486.7373645,325632,-138.1307373046875
1658470565.745579,350208,-136.51290893554688
1658470596.7316737,359424,-140.42657470703125
1658470620.7333865,367104,-143.49945068359375
1658470692.4179323,390144,-142.17800903320312
1658470722.1634474,399360,-140.5673370361328
1658470747.8797762,407040,-141.89129638671875
1658470779.8169174,417792,-141.40415954589844
1658470801.175454,423936,-144.25991821289062
1658470810.0837417,427008,-144.455322265625
1658470906.9239607,456192,-149.63967895507812
1658470931.183459,463872,-148.0291748046875
1658470959.4190385,473088,-144.04759216308594
1658470983.889796,480768,-145.05868530273438
1658470995.7571142,483840,-141.49000549316406
1658471035.786351,496128,-139.554931640625
1658471091.36824,514560,-146.09295654296875
1658471137.2190704,528384,-147.48452758789062
1658471177.008713,540672,-140.04534912109375
1658471255.7475543,565248,-145.67153930664062
1658471273.316635,571392,-144.80006408691406
1658471322.2490013,586752,-135.7880096435547
1658471533.2018082,654336,-136.6943359375
1658471538.5366743,655872,-134.0945587158203
1658471619.242667,681984,-139.98098754882812
1658471629.619228,685056,-138.53598022460938
1658471635.2873676,686592,-136.08999633789062
1658471648.3503475,691200,-135.3307647705078
1658471720.6915727,714240,-124.57308959960938
1658471736.9300482,718848,-123.70745849609375
1658471742.1945179,720384,-120.07025146484375
1658471789.7584434,735744,-117.96544647216797
1658471871.0908523,761856,-132.69325256347656
1658471880.7425873,764928,-132.02731323242188
