Wall time,Step,Value
1658370690.4412196,13824,-120.49700164794922
1658370774.551297,33792,-142.24253845214844
1658370814.1001906,43008,-137.9186248779297
1658370920.942146,67584,-140.80075073242188
1658370934.6086018,70656,-144.0463409423828
1658370956.4435673,75264,-143.96324157714844
1658371012.3972027,87552,-145.8387908935547
1658371030.358979,92160,-147.955322265625
1658371130.307294,115200,-143.1879425048828
1658371152.112568,119808,-146.03053283691406
1658371280.3356695,150528,-152.17481994628906
1658371334.0180588,162816,-155.0574188232422
1658371356.2102015,168960,-154.8957061767578
1658371489.5490422,199680,-157.36598205566406
1658371575.3830378,219648,-162.2325439453125
1658371644.539052,236544,-161.01527404785156
1658371680.8293488,244224,-154.52366638183594
1658371700.052806,248832,-157.35525512695312
1658371760.99107,262656,-159.38665771484375
1658371833.0936291,279552,-163.31875610351562
1658371867.8023827,287232,-167.70863342285156
1658371882.5780554,290304,-164.9849090576172
1658371888.6386752,291840,-164.9849090576172
1658371914.2220485,297984,-160.62994384765625
1658371966.6713808,310272,-158.0515594482422
1658372026.839118,324096,-153.96702575683594
1658372056.0076604,331776,-151.96534729003906
1658372127.2898114,348672,-154.97865295410156
1658372167.1937928,357888,-155.56723022460938
1658372202.6334093,365568,-146.9605255126953
1658372302.2581575,388608,-140.47811889648438
1658372341.505961,397824,-140.65765380859375
1658372377.0728965,405504,-143.711669921875
1658372424.7170453,416256,-138.34637451171875
1658372449.2078202,422400,-132.11549377441406
1658372464.5250485,425472,-128.33584594726562
1658372588.584963,454656,-130.50791931152344
1658372617.8401039,462336,-130.33175659179688
1658372657.8659806,471552,-134.82675170898438
1658372692.0278077,479232,-136.8238525390625
1658372703.3657522,482304,-137.22193908691406
1658372757.397426,494592,-140.75021362304688
1658372838.183453,513024,-137.08389282226562
1658372896.177035,526848,-133.2438201904297
1658372942.9445004,539136,-124.74800109863281
1658373055.3571212,563712,-122.26254272460938
1658373084.377813,569856,-122.37541198730469
1658373153.182084,585216,-121.5225601196289
1658373447.9924567,652800,-117.29930877685547
1658373454.5668259,654336,-116.7213363647461
1658373573.439417,680448,-105.94685363769531
1658373586.0819023,683520,-104.05866241455078
1658373589.294109,685056,-104.05866241455078
1658373608.291365,689664,-101.18018341064453
1658373710.9143503,712704,-96.80078125
1658373733.5223508,717312,-101.17807006835938
1658373740.1145573,718848,-102.60005187988281
1658373801.2118652,734208,-93.2968521118164
1658373917.260506,760320,-96.78536987304688
1658373932.0355694,763392,-91.6507339477539
1658374058.9350133,792576,-82.06088256835938
1658374074.2231326,795648,-80.34318542480469
1658374091.715071,800256,-80.54129791259766
1658374145.3378935,812544,-72.02001190185547
1658374188.1686413,821760,-74.73033905029297
1658374202.5038862,824832,-70.29875946044922
1658374224.862351,829440,-69.7960433959961
1658374267.656717,838656,-62.63188552856445
1658374298.3071895,846336,-58.187286376953125
1658374366.514331,861696,-64.1510009765625
1658374408.3968809,870912,-59.389930725097656
1658374448.9495454,880128,-60.095367431640625
1658374473.4778924,886272,-58.363468170166016
1658374514.584559,895488,-56.90168380737305
1658374528.0899234,898560,-59.10703659057617
1658374559.2312162,906240,-64.15154266357422
1658374566.2982914,907776,-62.415565490722656
1658374605.3650324,916992,-59.71665954589844
1658374665.887558,930816,-74.01969909667969
1658374777.2068243,958464,-67.4255599975586
1658374789.9139063,961536,-67.80546569824219
1658374869.804497,979968,-71.95927429199219
1658374911.17554,990720,-61.690364837646484
1658374919.340586,992256,-61.207984924316406
1658374933.053383,995328,-60.09889602661133
1658374953.866623,999936,-61.397518157958984
1658374968.2430577,1003008,-62.55451202392578
1658375051.5652003,1021440,-53.70417022705078
1658375069.501561,1026048,-53.489498138427734
1658375095.0996418,1032192,-50.7401008605957
1658375117.0545666,1036800,-52.17803192138672
