,category,mean reward,std reward
0,Multi CNN VS Kyo Kusanagi,157.42339717514812,48.26083186483191
1,Multi CNN VS Goro Daimon,156.57839658457786,44.647997617145016
2,Multi CNN VS Mai Shiranui,110.96319746617228,75.94016341368787
3,Multi CNN VS Billy,150.97019778784363,85.98487066256766
4,LSTM VS Kyo Kusanagi,16.14439821343869,52.674570124996876
5,Random Agent,-140.22179999999986,83.40434202199754
6,LSTM VS Kyo Kusanagi 786 units,-27.57660168722272,105.50970548946704
