Wall time,Step,Value
1655226083.49356,24576,-182.3090362548828
1655226175.5323555,49152,-168.2549591064453
1655226360.39468,98304,-209.3268585205078
1655226544.577367,147456,-195.2149658203125
1655226634.376033,172032,-174.96377563476562
1655226725.5242183,196608,-168.5041961669922
1655226815.0421216,221184,-146.2226104736328
1655226904.8279545,245760,-155.0341033935547
1655226994.5817666,270336,-137.76608276367188
1655227083.5229027,294912,-153.72195434570312
1655227172.723817,319488,-155.8809051513672
1655227262.9411387,344064,-147.91798400878906
1655227352.9594498,368640,-139.40679931640625
1655227444.2259748,393216,-127.83650207519531
1655227533.790172,417792,-107.163330078125
1655227625.307631,442368,-114.573974609375
1655227717.8727064,466944,-105.95962524414062
1655227805.8274071,491520,-135.03611755371094
1655227897.3361342,516096,-134.99038696289062
1655227987.448009,540672,-136.00596618652344
1655228078.1735644,565248,-118.61345672607422
1655228169.75348,589824,-106.7197036743164
1655228260.162581,614400,-91.37239074707031
1655228349.9179773,638976,-88.48779296875
1655228529.560526,688128,-106.4554214477539
1655228803.0287223,761856,-72.89205932617188
1655228892.7581952,786432,-72.03675079345703
1655228982.3879035,811008,-58.30955505371094
1655229075.2412107,835584,-62.2238883972168
1655229165.0209231,860160,-60.50235366821289
1655229345.6997669,909312,-51.82122039794922
1655229436.5325031,933888,-46.48085403442383
1655229529.103765,958464,-39.397769927978516
1655229619.665076,983040,-29.717365264892578
1655229707.3799255,1007616,-54.30474090576172
1655229891.0159066,1056768,-52.121177673339844
1655229980.6040697,1081344,-43.94180679321289
1655230069.9714322,1105920,-37.22013854980469
1655230158.6195936,1130496,-49.417930603027344
1655230249.5573602,1155072,-51.74098205566406
1655230339.6902423,1179648,-67.55857849121094
1655230519.7718878,1228800,-78.60498809814453
1655230610.6364734,1253376,-63.78046798706055
1655230790.7913363,1302528,-48.37555694580078
1655230882.2027593,1327104,-39.923099517822266
1655230972.425989,1351680,-27.492979049682617
1655231062.2162194,1376256,-25.8585147857666
1655231153.8553178,1400832,-21.033540725708008
1655231245.539042,1425408,-29.801183700561523
1655231424.0364652,1474560,-41.643680572509766
1655231515.000793,1499136,-40.280311584472656
1655231604.499788,1523712,-46.01075744628906
1655231695.3631928,1548288,-60.628753662109375
1655231784.8138046,1572864,-65.6313247680664
1655231874.6331275,1597440,-62.061065673828125
1655231962.8283172,1622016,-54.76529312133789
1655232053.754598,1646592,-39.75953674316406
1655232144.035477,1671168,-23.94664764404297
1655232232.6005294,1695744,-31.021337509155273
1655232322.9185975,1720320,-30.290117263793945
1655232504.6257896,1769472,-21.284704208374023
1655232595.4944794,1794048,-29.687192916870117
1655232684.6802275,1818624,-34.829383850097656
1655232775.717698,1843200,-39.69463348388672
1655232958.0183241,1892352,-38.915733337402344
1655233048.208255,1916928,-44.52015686035156
1655233139.9376063,1941504,-31.928428649902344
1655233230.2241504,1966080,-35.42903518676758
1655233410.7337904,2015232,-25.96961212158203
1655233499.7749076,2039808,-17.93721580505371
1655233680.4402,2088960,-23.97821617126465
1655233770.6791646,2113536,-6.214804649353027
1655233861.960614,2138112,1.5485215187072754
1655233951.5765793,2162688,16.29558753967285
1655234041.8393905,2187264,12.054896354675293
1655234131.9246619,2211840,5.447690486907959
1655234311.676435,2260992,-19.964967727661133
1655234400.612261,2285568,-26.47956085205078
1655234490.7797906,2310144,-11.146171569824219
1655234581.399466,2334720,2.702772855758667
1655234671.56987,2359296,7.504459381103516
1655234761.880147,2383872,-20.88225746154785
1655234851.7921255,2408448,-28.369596481323242
1655235031.7779386,2457600,-5.583108425140381
1655235122.8820539,2482176,8.751916885375977
1655235211.9286656,2506752,3.2304270267486572
1655235301.544755,2531328,2.2959208488464355
1655235391.7098296,2555904,-5.344077110290527
1655235480.4092064,2580480,-7.492804050445557
1655235570.70039,2605056,-4.0463457107543945
1655235661.3939269,2629632,-12.289941787719727
1655235840.094371,2678784,-27.545209884643555
1655235930.4233284,2703360,-28.8090877532959
1655236018.7689383,2727936,-33.421783447265625
1655236110.9886916,2752512,-16.583274841308594
1655236292.488933,2801664,6.466457366943359
1655236382.7424605,2826240,5.009862899780273
1655236472.553823,2850816,4.923760890960693
1655236563.4347239,2875392,-20.583057403564453
1655236654.2690482,2899968,-15.130048751831055
1655236744.035448,2924544,-17.741018295288086
1655236833.772434,2949120,-9.450806617736816
1655236922.789832,2973696,-7.76957893371582
1655237014.72569,2998272,3.2333922386169434
1655237104.4934175,3022848,2.397130012512207
1655237195.7793047,3047424,3.830101251602173
1655237286.1247404,3072000,15.277120590209961
1655237376.594133,3096576,20.569446563720703
1655237466.6349733,3121152,33.6613883972168
1655237556.3983212,3145728,15.687291145324707
1655237736.8938808,3194880,-4.711905002593994
1655237827.4394147,3219456,10.02737808227539
1655238100.9500778,3293184,35.21957778930664
1655238189.8435507,3317760,31.460371017456055
1655238371.7447295,3366912,27.985273361206055
1655238461.7243152,3391488,15.786033630371094
1655238643.5605376,3440640,14.608220100402832
1655238827.2704432,3489792,40.079708099365234
1655238918.9604187,3514368,38.029788970947266
1655239010.399085,3538944,24.534841537475586
1655239100.0615766,3563520,17.150325775146484
1655239190.1979196,3588096,14.817663192749023
1655239280.7367194,3612672,7.7826409339904785
1655239463.9762592,3661824,37.492698669433594
1655239555.1017008,3686400,34.99831008911133
1655239647.53215,3710976,17.377582550048828
1655239737.7315946,3735552,4.8044891357421875
1655239921.1197076,3784704,9.289908409118652
1655240011.7740066,3809280,13.290678977966309
1655240102.9326875,3833856,25.591402053833008
1655240282.8180792,3883008,19.433544158935547
1655240373.095673,3907584,14.213181495666504
1655240465.80414,3932160,25.151674270629883
1655240647.9318984,3981312,35.055152893066406
1655240741.4516568,4005888,29.261266708374023
1655240923.972147,4055040,33.280975341796875
1655241015.957036,4079616,35.51823806762695
1655241198.4278102,4128768,46.82967758178711
1655241290.714632,4153344,40.47557067871094
1655241382.1589057,4177920,27.510862350463867
1655241565.7899745,4227072,44.1375846862793
1655241657.1440275,4251648,61.48749923706055
1655241748.5577574,4276224,64.47715759277344
1655241932.350256,4325376,36.78822708129883
1655242024.5003607,4349952,32.119850158691406
1655242116.0899134,4374528,40.0439567565918
1655242208.0894868,4399104,22.919815063476562
1655242391.2378542,4448256,23.622495651245117
1655242482.2022774,4472832,38.36552810668945
1655242576.0936713,4497408,35.33401107788086
1655242667.4713764,4521984,47.82594680786133
1655242759.1899924,4546560,34.362953186035156
1655242851.9376976,4571136,54.749942779541016
1655242943.0076096,4595712,45.34368133544922
1655243033.529401,4620288,42.984397888183594
1655243124.8789473,4644864,31.399852752685547
1655243306.6262324,4694016,37.73918914794922
1655243399.7678552,4718592,52.3966178894043
1655243673.558427,4792320,42.49045944213867
1655244039.902148,4890624,38.31643295288086
1655244131.6896462,4915200,25.358999252319336
1655244312.3164003,4964352,16.882678985595703
1655244404.63898,4988928,30.004438400268555
1655244496.7755792,5013504,31.282726287841797
1655244679.627936,5062656,52.626373291015625
1655244772.639481,5087232,56.98610305786133
